N_nodes,T,degree,autocorrelation,method,n_runs,peak_rss_mib_mean,peak_rss_mib_se,runtime_s_mean,runtime_s_se
3,1000,1.5,0.3,tsboss,10,92.2,0.03373778070979509,0.258347920999222,0.0018212279168251543
3,1000,1.5,0.3,pcmci,10,97.9625,0.047059820825318815,0.2993524043005891,0.004110059188900041
3,1000,1.5,0.3,dynotears,10,150.2921875,0.0732525744949547,0.5163538581997272,0.007657582303686351
3,1000,1.5,0.3,tsfges,10,164.125,0.46931678696566753,0.31355627520097185,0.0052831927725621635
3,1000,1.5,0.3,tsboss_iid,10,32.996875,0.02495655948064779,0.010056204100692412,0.0002860209320930805
4,1000,1.5,0.3,tsboss,10,92.3234375,0.0636205964695309,0.25687918339899624,0.0013408199403427367
4,1000,1.5,0.3,pcmci,10,98.2734375,0.054389066667085456,0.30386514159908984,0.0018333393492795213
4,1000,1.5,0.3,dynotears,10,150.1828125,0.030194860501324465,0.5088217001000885,0.004444371159860721
4,1000,1.5,0.3,tsfges,10,164.0328125,0.23064685326303258,0.32142500429981735,0.0023181753793957696
4,1000,1.5,0.3,tsboss_iid,10,33.0140625,0.02447916666666667,0.011062270798720419,0.00044563755719559796
5,1000,1.5,0.3,tsboss,10,92.2875,0.04383671960937669,0.2610413708993292,0.0015867983603149807
5,1000,1.5,0.3,pcmci,10,98.4234375,0.058761911469789097,0.3171434832001978,0.0031077620391770436
5,1000,1.5,0.3,dynotears,10,150.2609375,0.0501219216635795,0.5185612751018198,0.0033461939327421074
5,1000,1.5,0.3,tsfges,10,166.7484375,1.0573749197518063,0.3395256457995856,0.004511728806679028
5,1000,1.5,0.3,tsboss_iid,10,33.2484375,0.030676154838806712,0.013494529099989449,0.0007578486200991368
7,1000,1.5,0.3,tsboss,10,92.33125,0.02633171804117612,0.2674476501015306,0.0017365441465452107
7,1000,1.5,0.3,pcmci,10,98.7265625,0.04069505178253657,0.3457197542011272,0.002686375613807559
7,1000,1.5,0.3,dynotears,10,150.271875,0.05884264267707749,0.5393945502990392,0.0015986619292078694
7,1000,1.5,0.3,tsfges,10,172.69375,0.6884707477345069,0.36409536249921076,0.0037110326909414915
7,1000,1.5,0.3,tsboss_iid,10,33.5453125,0.026295636586175706,0.01947441659940523,0.0013081065561727392
10,1000,1.5,0.3,tsboss,10,92.453125,0.029092166757851957,0.2880357834997994,0.0034673443332629097
10,1000,1.5,0.3,pcmci,10,99.2484375,0.06026606589048821,0.4166971540995291,0.007001836524407493
10,1000,1.5,0.3,dynotears,10,150.4046875,0.02730776401857985,0.5732952083999407,0.004860330131001149
10,1000,1.5,0.3,tsfges,10,198.9015625,3.147716091186085,0.386060241398809,0.0036076040896662
10,1000,1.5,0.3,tsboss_iid,10,33.7234375,0.03286206573822366,0.03632033340181806,0.003137952692894582
13,1000,1.5,0.3,tsboss,10,92.5640625,0.023460636728240017,0.31528508340052214,0.013365436764511456
13,1000,1.5,0.3,pcmci,10,99.828125,0.07057243619147634,0.47462327079774697,0.0066947681698528135
13,1000,1.5,0.3,dynotears,10,150.5453125,0.030320374120474756,0.5894190081999113,0.006663533517821829
13,1000,1.5,0.3,tsfges,10,210.071875,0.6421315280420014,0.41762253749911904,0.005791598663315491
13,1000,1.5,0.3,tsboss_iid,10,34.03125,0.06267337065204719,0.05429892070023925,0.011652098303758796
15,1000,1.5,0.3,tsboss,10,92.859375,0.20609474375339554,0.4181649751008081,0.060966775475322366
15,1000,1.5,0.3,pcmci,10,100.4078125,0.04537232640577538,0.5394277249994047,0.009803127285091178
15,1000,1.5,0.3,dynotears,10,150.7046875,0.04910494448542496,0.6376731042000756,0.009659190002646197
15,1000,1.5,0.3,tsfges,10,213.4640625,2.885379108134016,0.44508534129927285,0.00878602301166046
15,1000,1.5,0.3,tsboss_iid,10,34.525,0.16198167870506563,0.13438248349993956,0.03568821026936378
20,1000,1.5,0.3,tsboss,10,92.9609375,0.06320135989328957,0.44252002900029763,0.024615488579601053
20,1000,1.5,0.3,pcmci,10,101.7546875,0.05595262830809053,0.6949610709998524,0.006710483882723142
20,1000,1.5,0.3,dynotears,10,151.8296875,0.15620572289318765,0.7057070082009886,0.00940805025711519
20,1000,1.5,0.3,tsfges,10,217.865625,6.748475988577181,0.49157151659892406,0.006114396738597011
20,1000,1.5,0.3,tsboss_iid,10,34.80625,0.06695089151758922,0.17378572920060834,0.02243730699518866
25,1000,1.5,0.3,tsboss,10,93.2703125,0.0523974900334506,0.5211470458008989,0.022146081322306027
25,1000,1.5,0.3,pcmci,10,103.48125,0.11589682762171609,0.897131437499047,0.01314082937988615
25,1000,1.5,0.3,dynotears,10,153.0140625,0.12769342116580548,0.8060900207005034,0.012796805645153127
25,1000,1.5,0.3,tsfges,10,279.43125,8.94054502080814,0.5742190706994734,0.010488849461905479
25,1000,1.5,0.3,tsboss_iid,10,35.134375,0.09649342414267292,0.25051172059902455,0.04194034339793745
30,1000,1.5,0.3,tsboss,10,93.8328125,0.14196984256494993,0.7011161876995174,0.07058293498379839
30,1000,1.5,0.3,pcmci,10,105.7234375,0.035174570843548005,1.1124231292007607,0.017090313593697653
30,1000,1.5,0.3,dynotears,10,155.046875,0.3625389107469094,0.9172788960000616,0.021874484469496636
30,1000,1.5,0.3,tsfges,10,311.634375,3.3644698123263868,0.6430651706992648,0.011112171996126626
30,1000,1.5,0.3,tsboss_iid,10,35.525,0.12417697803940954,0.3712839334002638,0.062395247501765574
50,1000,1.5,0.3,tsboss,10,97.015625,0.19348099605215321,2.4189137540997763,0.2287602295961782
50,1000,1.5,0.3,pcmci,10,117.2296875,0.3387503363313213,2.7041499873004797,0.05176503801259192
50,1000,1.5,0.3,dynotears,10,163.64375,0.23247843762020884,1.818816183400486,0.054305142569397995
50,1000,1.5,0.3,tsfges,10,383.7796875,3.185383156366685,1.1392637290002312,0.02964084541882498
50,1000,1.5,0.3,tsboss_iid,10,38.6125,0.13521218535858534,1.664472033398488,0.1336689772312402
100,1000,1.5,0.3,tsboss,10,111.228125,0.6457921693870766,25.10175684170099,1.412234273312867
100,1000,1.5,0.3,pcmci,10,170.69375,1.1743751108745735,9.821492416501133,0.17803713717542377
100,1000,1.5,0.3,dynotears,10,198.51875,0.6461390405494952,5.547837754200009,0.08382825990126154
100,1000,1.5,0.3,tsfges,10,706.71875,47.317935699325325,4.960670791699522,0.09664424851397692
100,1000,1.5,0.3,tsboss_iid,10,48.8359375,0.42382682491480067,19.996209395899495,1.391223953886806
